Net,li1,met1,met2,met3,met4,met5,
pwdata[23],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[24],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[25],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[26],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[27],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[28],100.00%,100.00%,90.19%,100.00%,100.00%,NA,
pwdata[29],0.00%,36.46%,97.36%,100.00%,77.40%,NA,
pwdata[2],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[30],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[31],100.00%,100.00%,97.26%,100.00%,100.00%,NA,
pwdata[3],100.00%,98.86%,99.71%,100.00%,100.00%,NA,
pwdata[4],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[5],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[6],100.00%,100.00%,98.95%,63.07%,100.00%,NA,
pwdata[7],100.00%,100.00%,88.56%,100.00%,100.00%,NA,
pwdata[8],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[9],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwrite,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net8620,100.00%,100.00%,0.00%,NA,NA,NA,
net8618,100.00%,100.00%,100.00%,NA,NA,NA,
regen_cmd[0],100.00%,100.00%,100.00%,100.00%,NA,NA,
regen_cmd[10],100.00%,100.00%,100.00%,82.09%,NA,NA,
net8116,100.00%,100.00%,NA,NA,NA,NA,
regen_cmd[1],100.00%,100.00%,100.00%,100.00%,NA,NA,
net8121,100.00%,100.00%,0.00%,NA,NA,NA,
regen_cmd[3],100.00%,100.00%,100.00%,100.00%,NA,NA,
net8120,100.00%,100.00%,0.00%,NA,NA,NA,
net8119,100.00%,100.00%,0.00%,NA,NA,NA,
net8118,100.00%,100.00%,0.00%,NA,NA,NA,
regen_cmd[7],100.00%,100.00%,100.00%,100.00%,NA,NA,
regen_cmd[8],100.00%,100.00%,100.00%,100.00%,NA,NA,
net8117,100.00%,100.00%,NA,NA,NA,NA,
net8827,100.00%,94.04%,43.12%,89.50%,NA,NA,
net8825,95.38%,92.70%,94.14%,NA,NA,NA,
net8824,88.89%,96.05%,84.83%,NA,NA,NA,
net8667,100.00%,100.00%,99.72%,98.80%,100.00%,NA,
net8672,77.94%,91.43%,57.63%,88.20%,100.00%,NA,
net8675,100.00%,97.78%,48.34%,87.69%,100.00%,NA,
net8676,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net8679,100.00%,97.84%,95.83%,79.91%,NA,NA,
net8681,88.89%,88.61%,97.53%,NA,NA,NA,
net8684,100.00%,100.00%,86.73%,74.86%,99.95%,NA,
net8689,90.00%,99.17%,86.91%,100.00%,100.00%,NA,
sos_tx_ready,100.00%,100.00%,100.00%,100.00%,NA,NA,
net8698,100.00%,100.00%,72.05%,4.62%,100.00%,NA,
net9420,100.00%,67.77%,98.37%,100.00%,NA,NA,
speed_limit_kph[3],75.00%,97.48%,97.23%,97.35%,NA,NA,
speed_limit_kph[5],100.00%,100.00%,100.00%,99.91%,50.00%,NA,
system_health_score[0],100.00%,100.00%,61.48%,8.30%,100.00%,53.73%,
system_health_score[1],100.00%,86.99%,98.89%,96.86%,99.70%,100.00%,
system_health_score[2],100.00%,97.12%,96.39%,99.36%,100.00%,NA,
system_health_score[3],66.67%,98.68%,100.00%,100.00%,100.00%,NA,
