Net,li1,met1,met2,met3,met4,met5,
_23497_,100.00%,100.00%,0.00%,NA,NA,NA,
_23498_,100.00%,100.00%,0.00%,NA,NA,NA,
_23499_,100.00%,100.00%,0.00%,NA,NA,NA,
_23500_,66.67%,100.00%,100.00%,NA,NA,NA,
_23501_,100.00%,100.00%,100.00%,NA,NA,NA,
_23502_,50.00%,79.51%,100.00%,NA,NA,NA,
_23503_,100.00%,100.00%,100.00%,NA,NA,NA,
_23504_,100.00%,100.00%,100.00%,NA,NA,NA,
_23505_,100.00%,100.00%,0.00%,NA,NA,NA,
_23506_,100.00%,100.00%,0.00%,NA,NA,NA,
_23507_,100.00%,100.00%,0.00%,NA,NA,NA,
_23508_,100.00%,100.00%,0.00%,NA,NA,NA,
_23509_,100.00%,100.00%,0.00%,NA,NA,NA,
_23510_,100.00%,100.00%,100.00%,NA,NA,NA,
_23511_,100.00%,100.00%,0.00%,NA,NA,NA,
_23512_,100.00%,100.00%,100.00%,NA,NA,NA,
_23513_,100.00%,100.00%,100.00%,NA,NA,NA,
_23514_,100.00%,100.00%,100.00%,NA,NA,NA,
_23515_,100.00%,100.00%,100.00%,NA,NA,NA,
_23516_,100.00%,100.00%,100.00%,NA,NA,NA,
_23517_,100.00%,100.00%,100.00%,NA,NA,NA,
_23518_,100.00%,100.00%,0.00%,NA,NA,NA,
_23519_,100.00%,100.00%,100.00%,NA,NA,NA,
_23520_,100.00%,100.00%,0.00%,NA,NA,NA,
_23521_,100.00%,77.26%,70.70%,NA,NA,NA,
_23522_,100.00%,100.00%,0.00%,NA,NA,NA,
_23523_,100.00%,100.00%,100.00%,NA,NA,NA,
_23524_,100.00%,100.00%,0.00%,NA,NA,NA,
_23525_,100.00%,100.00%,100.00%,NA,NA,NA,
_23526_,100.00%,100.00%,100.00%,NA,NA,NA,
_23527_,100.00%,100.00%,100.00%,NA,NA,NA,
_23528_,100.00%,100.00%,100.00%,NA,NA,NA,
_23529_,100.00%,100.00%,100.00%,NA,NA,NA,
_23530_,100.00%,100.00%,100.00%,0.00%,NA,NA,
_23531_,100.00%,100.00%,100.00%,NA,NA,NA,
_23532_,100.00%,100.00%,100.00%,NA,NA,NA,
_23533_,100.00%,100.00%,100.00%,NA,NA,NA,
_23534_,50.00%,100.00%,100.00%,NA,NA,NA,
_23535_,100.00%,100.00%,0.00%,NA,NA,NA,
_23536_,100.00%,100.00%,100.00%,NA,NA,NA,
_23537_,97.79%,98.74%,100.00%,NA,NA,NA,
_23538_,100.00%,100.00%,83.46%,0.00%,NA,NA,
_23539_,100.00%,100.00%,100.00%,NA,NA,NA,
_23540_,100.00%,88.84%,0.00%,NA,NA,NA,
_23541_,100.00%,100.00%,0.00%,NA,NA,NA,
_23542_,100.00%,100.00%,100.00%,NA,NA,NA,
_23543_,100.00%,100.00%,0.00%,NA,NA,NA,
_23544_,100.00%,100.00%,100.00%,NA,NA,NA,
_23545_,100.00%,100.00%,100.00%,NA,NA,NA,
_23546_,100.00%,100.00%,100.00%,NA,NA,NA,
_23547_,100.00%,100.00%,100.00%,NA,NA,NA,
_23548_,100.00%,100.00%,100.00%,NA,NA,NA,
_23549_,100.00%,100.00%,100.00%,NA,NA,NA,
_23550_,100.00%,100.00%,0.00%,NA,NA,NA,
_23551_,100.00%,100.00%,100.00%,NA,NA,NA,
_23552_,100.00%,100.00%,100.00%,NA,NA,NA,
_23553_,100.00%,100.00%,NA,NA,NA,NA,
_23554_,100.00%,100.00%,100.00%,NA,NA,NA,
_23555_,100.00%,99.49%,0.00%,NA,NA,NA,
_23556_,100.00%,100.00%,100.00%,NA,NA,NA,
_23557_,100.00%,100.00%,0.00%,NA,NA,NA,
_23558_,100.00%,100.00%,NA,NA,NA,NA,
_23559_,100.00%,97.71%,0.00%,NA,NA,NA,
_23560_,100.00%,100.00%,100.00%,NA,NA,NA,
_23561_,50.00%,92.41%,NA,NA,NA,NA,
_23562_,100.00%,100.00%,NA,NA,NA,NA,
_23563_,100.00%,100.00%,NA,NA,NA,NA,
_23564_,100.00%,100.00%,NA,NA,NA,NA,
_23565_,100.00%,100.00%,100.00%,NA,NA,NA,
_23566_,100.00%,100.00%,0.00%,NA,NA,NA,
_23567_,100.00%,100.00%,100.00%,NA,NA,NA,
_23568_,100.00%,100.00%,0.00%,NA,NA,NA,
_23569_,100.00%,100.00%,NA,NA,NA,NA,
_23570_,100.00%,100.00%,100.00%,NA,NA,NA,
_23571_,100.00%,100.00%,100.00%,NA,NA,NA,
_23572_,100.00%,100.00%,NA,NA,NA,NA,
_23573_,100.00%,100.00%,100.00%,NA,NA,NA,
_23574_,100.00%,100.00%,0.00%,NA,NA,NA,
_23575_,100.00%,100.00%,100.00%,NA,NA,NA,
_23576_,100.00%,100.00%,0.00%,NA,NA,NA,
_23577_,100.00%,100.00%,0.00%,NA,NA,NA,
_23578_,100.00%,100.00%,NA,NA,NA,NA,
_23579_,100.00%,100.00%,100.00%,NA,NA,NA,
_23580_,100.00%,100.00%,0.00%,NA,NA,NA,
_23581_,100.00%,100.00%,0.00%,NA,NA,NA,
_23582_,100.00%,100.00%,100.00%,NA,NA,NA,
_23583_,100.00%,100.00%,0.00%,NA,NA,NA,
_23584_,50.00%,100.00%,100.00%,NA,NA,NA,
_23585_,100.00%,100.00%,NA,NA,NA,NA,
_23586_,100.00%,100.00%,100.00%,NA,NA,NA,
_23587_,100.00%,100.00%,100.00%,NA,NA,NA,
_23588_,100.00%,100.00%,0.00%,NA,NA,NA,
_23589_,50.00%,86.86%,NA,NA,NA,NA,
_23590_,100.00%,100.00%,NA,NA,NA,NA,
_23591_,100.00%,100.00%,0.00%,NA,NA,NA,
_23592_,100.00%,100.00%,0.00%,NA,NA,NA,
_23593_,100.00%,100.00%,0.00%,NA,NA,NA,
_23594_,100.00%,100.00%,100.00%,NA,NA,NA,
_23595_,100.00%,100.00%,0.00%,NA,NA,NA,
_23596_,100.00%,100.00%,NA,NA,NA,NA,
_23597_,100.00%,100.00%,NA,NA,NA,NA,
_23598_,100.00%,98.62%,0.00%,NA,NA,NA,
_23599_,89.71%,84.62%,100.00%,NA,NA,NA,
_23600_,100.00%,100.00%,0.00%,NA,NA,NA,
_23601_,89.71%,94.29%,100.00%,NA,NA,NA,
_23602_,100.00%,100.00%,100.00%,NA,NA,NA,
_23603_,100.00%,100.00%,NA,NA,NA,NA,
_23604_,100.00%,100.00%,100.00%,NA,NA,NA,
_23605_,100.00%,100.00%,NA,NA,NA,NA,
_23606_,50.00%,100.00%,100.00%,NA,NA,NA,
_23607_,100.00%,100.00%,100.00%,NA,NA,NA,
_23608_,100.00%,100.00%,100.00%,NA,NA,NA,
_23609_,100.00%,100.00%,0.00%,NA,NA,NA,
_23610_,100.00%,100.00%,0.00%,NA,NA,NA,
_23611_,100.00%,100.00%,100.00%,NA,NA,NA,
_23612_,100.00%,100.00%,100.00%,NA,NA,NA,
_23613_,100.00%,100.00%,0.00%,NA,NA,NA,
_23614_,100.00%,100.00%,100.00%,NA,NA,NA,
_23615_,100.00%,100.00%,100.00%,NA,NA,NA,
_23616_,100.00%,100.00%,100.00%,NA,NA,NA,
_23617_,100.00%,100.00%,100.00%,NA,NA,NA,
_23618_,100.00%,100.00%,100.00%,NA,NA,NA,
_23619_,100.00%,100.00%,100.00%,NA,NA,NA,
_23620_,100.00%,100.00%,NA,NA,NA,NA,
_23621_,100.00%,100.00%,100.00%,NA,NA,NA,
_23622_,100.00%,100.00%,100.00%,NA,NA,NA,
_23623_,100.00%,100.00%,100.00%,NA,NA,NA,
_23624_,100.00%,100.00%,100.00%,NA,NA,NA,
_23625_,100.00%,100.00%,100.00%,NA,NA,NA,
_23626_,100.00%,100.00%,100.00%,NA,NA,NA,
_23627_,100.00%,100.00%,NA,NA,NA,NA,
_23628_,100.00%,100.00%,0.00%,NA,NA,NA,
_23629_,100.00%,100.00%,100.00%,NA,NA,NA,
_23630_,100.00%,100.00%,100.00%,NA,NA,NA,
_23631_,100.00%,100.00%,0.00%,NA,NA,NA,
_23632_,100.00%,100.00%,0.00%,0.00%,NA,NA,
_23633_,100.00%,100.00%,100.00%,NA,NA,NA,
_23634_,100.00%,100.00%,0.00%,NA,NA,NA,
_23635_,100.00%,100.00%,100.00%,NA,NA,NA,
_23636_,100.00%,100.00%,100.00%,NA,NA,NA,
_23637_,66.67%,93.04%,100.00%,NA,NA,NA,
_23638_,100.00%,100.00%,100.00%,NA,NA,NA,
_23639_,100.00%,100.00%,100.00%,NA,NA,NA,
_23640_,100.00%,100.00%,100.00%,NA,NA,NA,
_23641_,100.00%,100.00%,100.00%,NA,NA,NA,
_23642_,100.00%,100.00%,0.00%,NA,NA,NA,
_23643_,88.89%,67.64%,50.68%,NA,NA,NA,
_23644_,100.00%,100.00%,100.00%,NA,NA,NA,
_23645_,100.00%,100.00%,NA,NA,NA,NA,
_23646_,100.00%,100.00%,0.00%,NA,NA,NA,
_23647_,100.00%,100.00%,0.00%,NA,NA,NA,
_23648_,100.00%,100.00%,NA,NA,NA,NA,
_23649_,100.00%,100.00%,0.00%,NA,NA,NA,
_23650_,100.00%,100.00%,100.00%,NA,NA,NA,
_23651_,100.00%,100.00%,100.00%,NA,NA,NA,
_23652_,100.00%,100.00%,100.00%,NA,NA,NA,
_23653_,100.00%,100.00%,0.00%,NA,NA,NA,
_23654_,100.00%,100.00%,100.00%,NA,NA,NA,
_23655_,100.00%,100.00%,100.00%,NA,NA,NA,
_23656_,100.00%,100.00%,100.00%,NA,NA,NA,
_23657_,100.00%,100.00%,NA,NA,NA,NA,
_23658_,50.00%,100.00%,100.00%,NA,NA,NA,
_23659_,100.00%,100.00%,100.00%,NA,NA,NA,
_23660_,100.00%,100.00%,0.00%,NA,NA,NA,
_23661_,100.00%,100.00%,100.00%,NA,NA,NA,
_23662_,100.00%,100.00%,100.00%,NA,NA,NA,
_23663_,100.00%,100.00%,100.00%,NA,NA,NA,
_23664_,100.00%,100.00%,100.00%,NA,NA,NA,
_23665_,100.00%,100.00%,100.00%,NA,NA,NA,
_23666_,100.00%,100.00%,100.00%,NA,NA,NA,
_23667_,100.00%,100.00%,100.00%,NA,NA,NA,
_23668_,100.00%,100.00%,100.00%,NA,NA,NA,
_23669_,100.00%,100.00%,100.00%,NA,NA,NA,
_23670_,100.00%,100.00%,0.00%,NA,NA,NA,
_23671_,100.00%,100.00%,0.00%,NA,NA,NA,
_23672_,50.00%,100.00%,100.00%,NA,NA,NA,
_23673_,100.00%,100.00%,100.00%,NA,NA,NA,
_23674_,100.00%,100.00%,100.00%,NA,NA,NA,
_23675_,100.00%,100.00%,100.00%,NA,NA,NA,
_23676_,100.00%,100.00%,100.00%,NA,NA,NA,
_23677_,100.00%,100.00%,100.00%,NA,NA,NA,
_23678_,89.22%,85.43%,100.00%,NA,NA,NA,
_23679_,89.22%,95.72%,100.00%,NA,NA,NA,
_23680_,100.00%,100.00%,100.00%,NA,NA,NA,
_23681_,100.00%,21.35%,74.93%,NA,NA,NA,
_23682_,100.00%,83.81%,0.00%,NA,NA,NA,
_23683_,50.00%,20.76%,NA,NA,NA,NA,
_23684_,100.00%,100.00%,100.00%,NA,NA,NA,
_23685_,100.00%,100.00%,100.00%,NA,NA,NA,
_23686_,100.00%,100.00%,100.00%,NA,NA,NA,
_23687_,100.00%,100.00%,100.00%,NA,NA,NA,
_23688_,100.00%,100.00%,100.00%,NA,NA,NA,
_23689_,100.00%,100.00%,100.00%,NA,NA,NA,
_23690_,100.00%,100.00%,100.00%,NA,NA,NA,
_23691_,100.00%,100.00%,0.00%,NA,NA,NA,
_23692_,100.00%,100.00%,100.00%,NA,NA,NA,
_23693_,100.00%,100.00%,100.00%,NA,NA,NA,
_23694_,100.00%,100.00%,100.00%,NA,NA,NA,
_23695_,100.00%,100.00%,100.00%,NA,NA,NA,
_23696_,100.00%,100.00%,100.00%,NA,NA,NA,
_23697_,100.00%,100.00%,NA,NA,NA,NA,
_23698_,100.00%,100.00%,100.00%,NA,NA,NA,
_23699_,100.00%,100.00%,NA,NA,NA,NA,
_23700_,100.00%,100.00%,100.00%,NA,NA,NA,
_23701_,100.00%,100.00%,NA,NA,NA,NA,
_23702_,100.00%,100.00%,0.00%,NA,NA,NA,
_23703_,100.00%,100.00%,NA,NA,NA,NA,
_23704_,100.00%,100.00%,0.00%,NA,NA,NA,
_23705_,100.00%,100.00%,0.00%,NA,NA,NA,
_23706_,100.00%,100.00%,100.00%,NA,NA,NA,
_23707_,100.00%,100.00%,100.00%,NA,NA,NA,
_23708_,100.00%,100.00%,NA,NA,NA,NA,
_23709_,100.00%,100.00%,100.00%,NA,NA,NA,
_23710_,100.00%,100.00%,100.00%,NA,NA,NA,
_23711_,100.00%,100.00%,0.00%,NA,NA,NA,
_23712_,100.00%,100.00%,NA,NA,NA,NA,
_23713_,100.00%,100.00%,100.00%,NA,NA,NA,
_23714_,100.00%,100.00%,69.68%,NA,NA,NA,
_23715_,66.67%,65.00%,0.00%,NA,NA,NA,
_23716_,80.00%,96.57%,100.00%,NA,NA,NA,
_23717_,100.00%,100.00%,0.00%,NA,NA,NA,
_23718_,100.00%,100.00%,0.00%,NA,NA,NA,
_23719_,100.00%,100.00%,100.00%,NA,NA,NA,
_23720_,100.00%,100.00%,0.00%,NA,NA,NA,
_23721_,100.00%,100.00%,100.00%,NA,NA,NA,
_23722_,100.00%,100.00%,0.00%,NA,NA,NA,
_23723_,100.00%,97.14%,0.00%,NA,NA,NA,
_23724_,100.00%,100.00%,0.00%,NA,NA,NA,
_23725_,100.00%,100.00%,0.00%,NA,NA,NA,
_23726_,100.00%,100.00%,100.00%,NA,NA,NA,
_23727_,100.00%,100.00%,NA,NA,NA,NA,
_23728_,100.00%,100.00%,NA,NA,NA,NA,
_23729_,100.00%,100.00%,100.00%,NA,NA,NA,
_23730_,50.00%,85.54%,NA,NA,NA,NA,
_23731_,100.00%,100.00%,100.00%,NA,NA,NA,
_23732_,100.00%,100.00%,100.00%,NA,NA,NA,
_23733_,100.00%,100.00%,100.00%,NA,NA,NA,
_23734_,100.00%,100.00%,100.00%,NA,NA,NA,
_23735_,100.00%,100.00%,NA,NA,NA,NA,
_23736_,100.00%,100.00%,0.00%,NA,NA,NA,
_23737_,100.00%,100.00%,NA,NA,NA,NA,
_23738_,100.00%,100.00%,0.00%,NA,NA,NA,
_23739_,100.00%,100.00%,0.00%,NA,NA,NA,
_23740_,100.00%,100.00%,0.00%,NA,NA,NA,
_23741_,100.00%,100.00%,NA,NA,NA,NA,
_23742_,100.00%,100.00%,0.00%,NA,NA,NA,
_23743_,100.00%,100.00%,0.00%,NA,NA,NA,
_23744_,100.00%,100.00%,NA,NA,NA,NA,
_23745_,100.00%,100.00%,NA,NA,NA,NA,
_23746_,100.00%,100.00%,0.00%,NA,NA,NA,
_23747_,100.00%,100.00%,100.00%,NA,NA,NA,
_23748_,100.00%,100.00%,100.00%,NA,NA,NA,
_23749_,100.00%,100.00%,0.00%,NA,NA,NA,
_23750_,95.59%,96.60%,100.00%,NA,NA,NA,
_23751_,100.00%,100.00%,NA,NA,NA,NA,
_23752_,100.00%,100.00%,0.00%,NA,NA,NA,
_23753_,100.00%,100.00%,0.00%,NA,NA,NA,
_23754_,100.00%,100.00%,0.00%,NA,NA,NA,
_23755_,100.00%,100.00%,NA,NA,NA,NA,
_23756_,83.82%,73.65%,100.00%,NA,NA,NA,
_23757_,100.00%,100.00%,100.00%,NA,NA,NA,
_23758_,100.00%,100.00%,100.00%,NA,NA,NA,
_23759_,100.00%,100.00%,NA,NA,NA,NA,
_23760_,100.00%,100.00%,0.00%,NA,NA,NA,
_23761_,100.00%,100.00%,0.00%,NA,NA,NA,
_23762_,100.00%,100.00%,0.00%,NA,NA,NA,
_23763_,100.00%,100.00%,100.00%,NA,NA,NA,
_23764_,100.00%,100.00%,0.00%,NA,NA,NA,
_23765_,66.67%,100.00%,100.00%,NA,NA,NA,
_23766_,100.00%,100.00%,100.00%,NA,NA,NA,
_23767_,100.00%,100.00%,100.00%,NA,NA,NA,
_23768_,50.00%,83.76%,0.00%,NA,NA,NA,
_23769_,66.67%,41.12%,100.00%,NA,NA,NA,
_23770_,100.00%,100.00%,100.00%,NA,NA,NA,
_23771_,100.00%,100.00%,100.00%,NA,NA,NA,
_23772_,100.00%,100.00%,100.00%,NA,NA,NA,
_23773_,100.00%,100.00%,100.00%,NA,NA,NA,
_23774_,100.00%,100.00%,100.00%,NA,NA,NA,
_23775_,100.00%,100.00%,0.00%,NA,NA,NA,
_23776_,100.00%,100.00%,0.00%,NA,NA,NA,
_23777_,75.00%,100.00%,0.00%,NA,NA,NA,
_23778_,100.00%,100.00%,100.00%,NA,NA,NA,
_23779_,100.00%,100.00%,0.00%,NA,NA,NA,
_23780_,100.00%,100.00%,0.00%,NA,NA,NA,
_23781_,100.00%,100.00%,100.00%,NA,NA,NA,
_23782_,100.00%,100.00%,100.00%,NA,NA,NA,
_23783_,100.00%,100.00%,100.00%,NA,NA,NA,
_23784_,100.00%,100.00%,100.00%,NA,NA,NA,
_23785_,100.00%,100.00%,0.00%,NA,NA,NA,
_23786_,100.00%,100.00%,0.00%,NA,NA,NA,
_23787_,100.00%,100.00%,100.00%,NA,NA,NA,
_23788_,100.00%,100.00%,100.00%,NA,NA,NA,
_23789_,97.79%,97.05%,98.81%,NA,NA,NA,
_23790_,100.00%,100.00%,100.00%,NA,NA,NA,
_23791_,100.00%,100.00%,100.00%,NA,NA,NA,
_23792_,100.00%,100.00%,100.00%,NA,NA,NA,
_23793_,100.00%,100.00%,NA,NA,NA,NA,
_23794_,100.00%,100.00%,100.00%,NA,NA,NA,
_23795_,100.00%,100.00%,100.00%,NA,NA,NA,
_23796_,100.00%,100.00%,100.00%,NA,NA,NA,
_23797_,100.00%,100.00%,100.00%,NA,NA,NA,
_23798_,100.00%,100.00%,100.00%,NA,NA,NA,
_23799_,66.67%,72.30%,100.00%,NA,NA,NA,
_23800_,66.67%,100.00%,55.34%,NA,NA,NA,
_23801_,100.00%,100.00%,100.00%,NA,NA,NA,
_23802_,100.00%,100.00%,0.00%,NA,NA,NA,
_23803_,50.00%,100.00%,100.00%,NA,NA,NA,
_23804_,100.00%,100.00%,44.16%,NA,NA,NA,
_23805_,100.00%,100.00%,0.00%,NA,NA,NA,
_23806_,100.00%,91.89%,30.64%,NA,NA,NA,
_23807_,100.00%,100.00%,100.00%,NA,NA,NA,
_23808_,100.00%,100.00%,100.00%,NA,NA,NA,
_23809_,100.00%,100.00%,100.00%,NA,NA,NA,
_23810_,100.00%,100.00%,100.00%,NA,NA,NA,
_23811_,100.00%,100.00%,100.00%,NA,NA,NA,
_23812_,100.00%,100.00%,0.00%,NA,NA,NA,
_23813_,66.67%,34.05%,0.00%,NA,NA,NA,
_23814_,100.00%,100.00%,NA,NA,NA,NA,
_23815_,100.00%,100.00%,100.00%,NA,NA,NA,
_23816_,100.00%,100.00%,NA,NA,NA,NA,
_23817_,100.00%,100.00%,100.00%,NA,NA,NA,
_23818_,100.00%,100.00%,100.00%,NA,NA,NA,
_23819_,100.00%,100.00%,0.00%,NA,NA,NA,
_23820_,100.00%,100.00%,0.00%,NA,NA,NA,
_23821_,100.00%,100.00%,100.00%,NA,NA,NA,
_23822_,100.00%,100.00%,0.00%,NA,NA,NA,
_23823_,100.00%,100.00%,0.00%,NA,NA,NA,
_23824_,100.00%,100.00%,0.00%,NA,NA,NA,
_23825_,100.00%,100.00%,100.00%,NA,NA,NA,
_23826_,100.00%,100.00%,0.00%,NA,NA,NA,
_23827_,100.00%,100.00%,0.00%,NA,NA,NA,
_23828_,100.00%,100.00%,100.00%,NA,NA,NA,
_23829_,100.00%,100.00%,NA,NA,NA,NA,
_23830_,100.00%,100.00%,100.00%,NA,NA,NA,
_23831_,100.00%,100.00%,100.00%,NA,NA,NA,
_23832_,100.00%,100.00%,100.00%,NA,NA,NA,
_23833_,100.00%,100.00%,100.00%,NA,NA,NA,
_23834_,100.00%,100.00%,40.90%,NA,NA,NA,
_23835_,100.00%,100.00%,0.00%,NA,NA,NA,
_23836_,81.37%,98.35%,NA,NA,NA,NA,
_23837_,100.00%,100.00%,0.00%,NA,NA,NA,
_23838_,100.00%,100.00%,100.00%,NA,NA,NA,
_23839_,100.00%,100.00%,68.67%,NA,NA,NA,
_23840_,100.00%,100.00%,70.14%,0.00%,NA,NA,
_23841_,100.00%,100.00%,100.00%,NA,NA,NA,
_23842_,100.00%,100.00%,0.00%,NA,NA,NA,
_23843_,100.00%,100.00%,100.00%,NA,NA,NA,
_23844_,100.00%,100.00%,86.22%,NA,NA,NA,
_23845_,100.00%,100.00%,100.00%,NA,NA,NA,
_23846_,100.00%,100.00%,100.00%,NA,NA,NA,
_23847_,100.00%,100.00%,100.00%,NA,NA,NA,
_23848_,100.00%,100.00%,0.00%,NA,NA,NA,
_23849_,100.00%,100.00%,0.00%,NA,NA,NA,
_23850_,100.00%,100.00%,100.00%,NA,NA,NA,
_23851_,100.00%,100.00%,0.00%,NA,NA,NA,
_23852_,100.00%,100.00%,100.00%,NA,NA,NA,
_23853_,100.00%,100.00%,100.00%,NA,NA,NA,
_23854_,100.00%,100.00%,0.00%,NA,NA,NA,
_23855_,100.00%,89.36%,NA,NA,NA,NA,
_23856_,100.00%,100.00%,100.00%,NA,NA,NA,
_23857_,100.00%,100.00%,100.00%,NA,NA,NA,
_23858_,100.00%,93.91%,100.00%,NA,NA,NA,
_23859_,100.00%,100.00%,0.00%,NA,NA,NA,
_23860_,100.00%,100.00%,65.26%,NA,NA,NA,
_23861_,100.00%,100.00%,100.00%,NA,NA,NA,
_23862_,100.00%,100.00%,100.00%,NA,NA,NA,
_23863_,100.00%,100.00%,100.00%,NA,NA,NA,
_23864_,100.00%,100.00%,100.00%,NA,NA,NA,
_23865_,100.00%,100.00%,100.00%,NA,NA,NA,
_23866_,100.00%,100.00%,100.00%,NA,NA,NA,
_23867_,100.00%,100.00%,100.00%,NA,NA,NA,
_23868_,100.00%,100.00%,100.00%,NA,NA,NA,
_23869_,100.00%,100.00%,100.00%,NA,NA,NA,
_23870_,100.00%,100.00%,100.00%,NA,NA,NA,
_23871_,100.00%,100.00%,NA,NA,NA,NA,
_23872_,100.00%,100.00%,100.00%,NA,NA,NA,
_23873_,100.00%,100.00%,100.00%,NA,NA,NA,
_23874_,100.00%,100.00%,100.00%,NA,NA,NA,
_23875_,100.00%,100.00%,100.00%,NA,NA,NA,
_23876_,100.00%,100.00%,0.00%,NA,NA,NA,
_23877_,100.00%,100.00%,0.00%,NA,NA,NA,
_23878_,100.00%,100.00%,100.00%,NA,NA,NA,
_23879_,100.00%,100.00%,100.00%,NA,NA,NA,
_23880_,100.00%,100.00%,100.00%,NA,NA,NA,
_23881_,100.00%,100.00%,0.00%,NA,NA,NA,
_23882_,100.00%,100.00%,100.00%,NA,NA,NA,
_23883_,100.00%,71.50%,0.00%,NA,NA,NA,
_23884_,100.00%,100.00%,100.00%,NA,NA,NA,
_23885_,100.00%,100.00%,100.00%,NA,NA,NA,
_23886_,100.00%,100.00%,100.00%,NA,NA,NA,
_23887_,100.00%,100.00%,100.00%,NA,NA,NA,
_23888_,100.00%,100.00%,100.00%,NA,NA,NA,
_23889_,100.00%,100.00%,100.00%,NA,NA,NA,
_23890_,100.00%,100.00%,100.00%,NA,NA,NA,
_23891_,100.00%,100.00%,100.00%,NA,NA,NA,
_23892_,100.00%,100.00%,NA,NA,NA,NA,
_23893_,100.00%,100.00%,100.00%,NA,NA,NA,
_23894_,100.00%,100.00%,NA,NA,NA,NA,
_23895_,100.00%,100.00%,100.00%,NA,NA,NA,
_23896_,100.00%,100.00%,100.00%,NA,NA,NA,
_23897_,100.00%,100.00%,0.00%,NA,NA,NA,
_23898_,100.00%,100.00%,0.00%,NA,NA,NA,
_23899_,100.00%,100.00%,100.00%,NA,NA,NA,
_23900_,50.00%,28.24%,NA,NA,NA,NA,
_23901_,100.00%,100.00%,100.00%,NA,NA,NA,
_23902_,50.00%,78.80%,NA,NA,NA,NA,
_23903_,100.00%,100.00%,0.00%,NA,NA,NA,
_23904_,100.00%,100.00%,0.00%,NA,NA,NA,
_23905_,100.00%,100.00%,100.00%,NA,NA,NA,
_23906_,100.00%,100.00%,0.00%,NA,NA,NA,
_23907_,100.00%,100.00%,100.00%,NA,NA,NA,
_23908_,100.00%,100.00%,100.00%,NA,NA,NA,
_23909_,100.00%,100.00%,0.00%,NA,NA,NA,
_23910_,100.00%,100.00%,NA,NA,NA,NA,
_23911_,51.47%,77.93%,0.00%,NA,NA,NA,
_23912_,100.00%,100.00%,100.00%,NA,NA,NA,
_23913_,100.00%,100.00%,100.00%,NA,NA,NA,
_23914_,100.00%,100.00%,100.00%,NA,NA,NA,
_23915_,100.00%,100.00%,100.00%,NA,NA,NA,
_23916_,100.00%,100.00%,NA,NA,NA,NA,
_23917_,100.00%,100.00%,100.00%,NA,NA,NA,
_23918_,100.00%,100.00%,NA,NA,NA,NA,
_23919_,100.00%,100.00%,NA,NA,NA,NA,
_23920_,100.00%,100.00%,100.00%,NA,NA,NA,
_23921_,100.00%,100.00%,100.00%,NA,NA,NA,
_23922_,100.00%,100.00%,0.00%,NA,NA,NA,
_23923_,100.00%,100.00%,NA,NA,NA,NA,
_23924_,100.00%,100.00%,NA,NA,NA,NA,
_23925_,100.00%,100.00%,100.00%,NA,NA,NA,
_23926_,100.00%,100.00%,100.00%,NA,NA,NA,
_23927_,100.00%,100.00%,100.00%,NA,NA,NA,
_23928_,100.00%,100.00%,100.00%,NA,NA,NA,
_23929_,100.00%,100.00%,0.00%,NA,NA,NA,
_23930_,100.00%,100.00%,69.21%,0.00%,NA,NA,
_23931_,100.00%,100.00%,0.00%,NA,NA,NA,
_23932_,100.00%,100.00%,100.00%,NA,NA,NA,
_23933_,100.00%,100.00%,0.00%,NA,NA,NA,
_23934_,100.00%,100.00%,100.00%,NA,NA,NA,
_23935_,100.00%,100.00%,0.00%,NA,NA,NA,
_23936_,100.00%,100.00%,100.00%,NA,NA,NA,
_23937_,100.00%,100.00%,100.00%,NA,NA,NA,
_23938_,100.00%,100.00%,72.52%,0.00%,NA,NA,
_23939_,100.00%,100.00%,NA,NA,NA,NA,
_23940_,100.00%,100.00%,0.00%,NA,NA,NA,
_23941_,100.00%,100.00%,100.00%,NA,NA,NA,
_23942_,100.00%,100.00%,100.00%,NA,NA,NA,
_23943_,100.00%,91.78%,49.56%,NA,NA,NA,
_23944_,100.00%,100.00%,100.00%,NA,NA,NA,
_23945_,100.00%,100.00%,NA,NA,NA,NA,
_23946_,100.00%,100.00%,100.00%,NA,NA,NA,
_23947_,100.00%,100.00%,NA,NA,NA,NA,
_23948_,100.00%,100.00%,NA,NA,NA,NA,
_23949_,100.00%,100.00%,100.00%,NA,NA,NA,
_23950_,100.00%,100.00%,NA,NA,NA,NA,
_23951_,100.00%,100.00%,0.00%,NA,NA,NA,
_23952_,100.00%,100.00%,0.00%,NA,NA,NA,
_23953_,100.00%,100.00%,NA,NA,NA,NA,
_23954_,100.00%,100.00%,100.00%,NA,NA,NA,
_23955_,100.00%,100.00%,0.00%,NA,NA,NA,
_23956_,100.00%,100.00%,0.00%,NA,NA,NA,
_23957_,100.00%,99.59%,0.00%,NA,NA,NA,
_23958_,100.00%,100.00%,0.00%,NA,NA,NA,
_23959_,100.00%,100.00%,100.00%,NA,NA,NA,
_23960_,100.00%,100.00%,100.00%,NA,NA,NA,
_23961_,77.94%,58.38%,0.00%,NA,NA,NA,
_23962_,100.00%,100.00%,NA,NA,NA,NA,
_23963_,100.00%,100.00%,100.00%,NA,NA,NA,
_23964_,100.00%,100.00%,100.00%,NA,NA,NA,
_23965_,100.00%,100.00%,85.27%,NA,NA,NA,
